sample_id	tissue	cell_fraction	fraction
GSM3428764	tumor	Plasma cells	0.243592327499923
GSM3428764	tumor	Macrophages M0	0
GSM3428764	tumor	T cells CD8	0.0642420371578926
GSM3428764	tumor	Macrophages M1	0.129960527066593
GSM3428764	tumor	T cells follicular helper	0.00451330503624095
GSM3428764	tumor	Mast cells activated	0
GSM3428764	tumor	B cells memory	0.0775826603912007
GSM3428764	tumor	NK cells activated	0.0602156306046449
GSM3428765	tumor	T cells CD4 memory resting	0.231069601321815
GSM3428765	tumor	Macrophages M2	0.224155516647813
GSM3428765	tumor	Plasma cells	0.0919249815299296
GSM3428765	tumor	Macrophages M0	0.0275342557870589
GSM3428765	tumor	T cells CD8	0.0900929047468942
GSM3428765	tumor	Macrophages M1	0.0540592509986008
GSM3428765	tumor	T cells follicular helper	0.0502033848560245
GSM3428765	tumor	Mast cells activated	0
GSM3428765	tumor	B cells memory	0.00519465248980636
GSM3428765	tumor	NK cells activated	0.0748969169342742
GSM3428766	tumor	T cells CD4 memory resting	0.0917589368516801
GSM3428766	tumor	Macrophages M2	0.209134795943896
GSM3428766	tumor	Plasma cells	0.0966873238378998
GSM3428766	tumor	Macrophages M0	0.0346375437357381
GSM3428766	tumor	T cells CD8	0.160101573255184
GSM3428766	tumor	Macrophages M1	0.0573957274236715
GSM3428766	tumor	T cells follicular helper	0.0870084427174042
GSM3428766	tumor	Mast cells activated	0.0424899108195214
GSM3428766	tumor	B cells memory	6.9713729537237e-4
GSM3428766	tumor	NK cells activated	0.090894996806011
GSM3428767	tumor	T cells CD4 memory resting	0.100886901156512
GSM3428767	tumor	Macrophages M2	0.104847380465301
GSM3428767	tumor	Plasma cells	0.14076034188233
GSM3428767	tumor	Macrophages M0	0.00961049232717717
GSM3428767	tumor	T cells CD8	0.168009682043961
GSM3428767	tumor	Macrophages M1	0.0820158498155572
GSM3428767	tumor	T cells follicular helper	0.0799004815130464
GSM3428767	tumor	Mast cells activated	0
GSM3428767	tumor	B cells memory	0.131784605181754
GSM3428767	tumor	NK cells activated	0.0981819910761999
GSM3428768	tumor	T cells CD4 memory resting	0.298248834512108
GSM3428768	tumor	Macrophages M2	0.118850977396569
GSM3428768	tumor	Plasma cells	0.131546449793065
