gene	logFC_121248	t_121248	p_121248	FDR_121248	logFC_41804	t_41804	p_41804	FDR_41804
SYCP2	0.0057745212355209295	0.11938027494413388	0.9051970900529418	0.9288385610644956	-0.5903089133499998	-1.3187200455399808	0.19467857145042797	0.41534356264821104
SYCP2L	0.05935831660231652	0.8872679799197472	0.3769171017925671	0.46239042244407885	0.5069031825499994	1.4324114572190154	0.1597072981188869	0.36902759882034036
SYCP3	-0.017793683397683644	-0.3833403379442205	0.7022251147962179	0.7639661376425169	-0.007751291900001006	-0.036368560225534946	0.9711673273069066	0.9873767536169725
SYDE1	-0.09000955598455501	-1.465065024709841	0.14582428182925697	0.2092010553737273	-0.20384791640000052	-0.8529188305803727	0.3987253790572959	0.627686644837217
SYDE2	-0.3646865444015442	-5.438417464812276	3.403168648165762e-7	2.3857276056574225e-6	-0.13514929525000038	-0.2709278683265641	0.7878239303660127	0.899754656613009
SYF2	0.2914204324324325	5.025474300668068	2.016789547800491e-6	1.1484613359503684e-5	0.04212998374999982	0.3084782819710743	0.7593011357831412	0.8834841578962952
SYK	-0.2754992972972976	-1.8899331512472648	0.06146275751091505	0.10050359799556004	-0.4027459022500005	-1.590591990978743	0.11948565328752273	0.3100896463807542
SYMPK	-0.06164330888030859	-0.9217875813084824	0.35870528039698424	0.4438771240955457	-0.24159868534999965	-1.088412110261701	0.2828541202486472	0.5159713848845817
SYN1	-0.0804280231660231	-1.8878549916021885	0.06174416667677508	0.1008735100879089	-0.3134402828000004	-1.4394438939175593	0.15771721074492623	0.3665372158781806
SYN2	-0.027073942084941915	-0.6218988156642902	0.5353262625630968	0.6149961547153443	0.3358182675499998	1.057742222179502	0.2964474854988885	0.530096354464227
SYN3	0.1058578610038607	2.280969101485584	0.024523365768289552	0.04561799004255196	0.21743240519999987	0.8003805138770418	0.4281651109431517	0.6545699387410485
SYNC	0.20377188416988362	2.270600168275575	0.025166157849725423	0.046603600169645376	0.6192996069	3.5535893104854366	9.834043700606774e-4	0.014328195085016688
SYNCRIP	-0.2787948918918923	-3.004737987174733	0.003308504265805688	0.007966558921194503	0.20834098400000006	1.912490280797898	0.06291067073439782	0.20728503794082942
