gene	logFC	AveExpr	t	p_value	FDR	B	dataset
AAK1	0.49928154499999977	11.349463693	3.326900187446498	0.0018768925110683903	0.021425898525506176	-1.4923340928331363	GSE41804
AAMDC	-0.3568602789999989	12.7187684415	-2.0151554788247155	0.0505654121250387	0.1800093486423514	-4.411211961040506	GSE41804
AAMP	-7.94735749999705e-4	7.546676395675	-0.005653455461824713	0.9955170025415756	0.9982244563606016	-6.3291251598918885	GSE41804
AANAT	-0.12068297584999997	2.116158954175	-0.312638038084147	0.7561614272981804	0.8817357023863478	-6.280683579300474	GSE41804
AAR2	0.010688376950001311	7.599786056575	0.07290873216079667	0.9422379867991829	0.9741680930960444	-6.326502586696289	GSE41804
AARS	0.04537575184999934	10.905776839575	0.26391669776824794	0.7931837182227979	0.9025556517056926	-6.294597566474749	GSE41804
AARS2	0.13916157869999918	9.6022605641	0.9279901534121626	0.35891584469549	0.5925021145316957	-5.906298019492983	GSE41804
AASDH	0.1587714908499997	9.101801346175	1.2508953782016408	0.21815793794886135	0.44339890757232087	-5.567529178509699	GSE41804
AASDHPPT	-0.11522048050000024	10.484185795	-0.9616400451573076	0.34194256142934953	0.5765212012690002	-5.875437833596123	GSE41804
AASS	-0.8609132543499995	11.800237321825	-2.175919358226541	0.03545750926441489	0.14461686128718806	-4.110563194982814	GSE41804
AATBC	-0.11572678470000013	7.2748788185	-0.5263621987609696	0.6015102914027763	0.7852519575637397	-6.192097774689139	GSE41804
AATF	0.2988019293500003	9.559723858175	2.1200340782828277	0.04018391234942191	0.15567598314104628	-4.217156144629113	GSE41804
AATK	-0.08583938114999999	6.433369934575	-0.4639664177576287	0.6451584633328569	0.8149303234850661	-6.222579202989562	GSE41804
ABAT	-0.9453641254499997	12.189226989775	-3.2923225134032834	0.0020679685894289864	0.022919379299665827	-1.5809920100683064	GSE41804
ABCA1	-0.46280318199999915	11.2783232065	-3.182874031347936	0.002802174537237238	0.027707137594782563	-1.8581437396752678	GSE41804
ABCA11P	-0.061871817200000415	7.09186583165	-0.33721603314496357	0.7376971834765571	0.8712741248868251	-6.272776596161219	GSE41804
ABCA12	0.32043894209999974	4.14996551345	0.6808603971273974	0.4998380514161046	0.7116126068007952	-6.100381135578916	GSE41804
ABCA13	-0.25710912029999966	2.75717376435	-0.42764949280363856	0.6711739250537648	0.8319020097382611	-6.2385713208531755	GSE41804
ABCA17P	-0.6672855158999994	4.83347760215	-1.759022697517728	0.08613478968672761	0.25268915442419226	-4.850886088190137	GSE41804
ABCA2	-0.8319907224499996	6.345636684075	-2.580169706155764	0.013607290374009443	0.07795611996466353	-3.2774968101401107	GSE41804
ABCA3	-0.4217085575000012	6.05684206145	-1.3260323508799075	0.1922665565178513	0.4119562550540655	-5.475327239760473	GSE41804
ABCA4	0.37503925324999965	5.598726460825	0.7918771359667321	0.43305058868627877	0.6581192791023704	-6.020335993100073	GSE41804
ABCA5	-0.04203976620000052	10.9134394906	-0.24288283753924034	0.8093232754951584	0.910520565517076	-6.2998803288696426	GSE41804
ABCA6	-0.5978591235000006	11.47952708775	-1.5313691444819086	0.1334603978566808	0.33141141947218916	-5.198573329133805	GSE41804
ABCA7	-0.2806784323999997	6.8146355221	-1.4205923889139633	0.1630962508672291	0.3742439604551513	-5.3523328947578035	GSE41804
ABCA8	-1.8855821134999997	9.6377765599	-2.6183466500298676	0.012374389257396605	0.07360680599293092	-3.193516770902679	GSE41804
ABCA9	-0.9715429514999998	9.2022669989	-2.1255080879310335	0.03969763036419992	0.15450752429995362	-4.2068120810434575	GSE41804
ABCB1	-0.23362177825000052	10.436665744575	-1.0488113075546508	0.3004897183805047	0.5347748379228601	-5.7906344356378066	GSE41804
ABCB10	0.18247080594999998	9.799568493825	1.1217979338985853	0.2685619562398668	0.5003450012063911	-5.71429098701438	GSE41804
ABCB11	-0.8054662608999992	10.0552950127	-1.2413714438192283	0.2216174053284879	0.44815872623506525	-5.578862379021179	GSE41804
ABCB4	-1.0819947769999996	12.624185905	-4.060366788087229	2.185732156431351e-4	0.005190636637429168	0.49467739802491106	GSE41804
ABCB5	-0.29308616290000006	4.1912807649	-0.5866199199110322	0.5607179608976071	0.7571728725188184	-6.1590689389058175	GSE41804
ABCB6	0.5991127141499997	8.996852849625	2.498513885469062	0.01663017829866651	0.08868748922061599	-3.4541686198787884	GSE41804
ABCB7	-0.09902702599999974	10.297647979	-0.9104580162113697	0.3679733600230597	0.6013014198153258	-5.921959892012829	GSE41804
ABCB8	0.37593512940000046	7.40318291405	2.731381252297469	0.009301005671511188	0.06118076092300661	-2.93986830745477	GSE41804
ABCB9	-0.3025454498999999	5.56421715105	-0.7283928968714334	0.4705680776786322	0.688986160984269	-6.067546824247082	GSE41804
ABCC1	-0.25639968129999985	9.5286386802	-0.8407310335229148	0.4054398432979224	0.6345444212720127	-5.981406841819449	GSE41804
ABCC10	0.22219932345000062	7.617866465075	1.1829684506931326	0.24372636309018608	0.47388090599757043	-5.646603694926851	GSE41804
ABCC11	-0.22724432575000006	5.501517190975	-0.5779292260493575	0.5665146869314093	0.7603278618471709	-6.164049655600972	GSE41804
ABCC12	-0.8833206378499993	3.451080959875	-1.7279479181469826	0.09162408422301356	0.26190521735916084	-4.900796927347515	GSE41804
ABCC13	-0.5508222047499999	4.844509876575	-1.3537348930864228	0.1833351471732348	0.39996885532638415	-5.440092042103086	GSE41804
ABCC2	-0.29283100299999876	11.838823478	-1.5544206783822354	0.12787226529345036	0.3225797735043982	-5.16528763363116	GSE41804
ABCC3	-0.542946977299999	12.08556835285	-1.928999675015378	0.060765886750957614	0.20272144171256729	-4.56463172108001	GSE41804
ABCC4	0.7523880803999997	9.43764422035	2.249119251867129	0.030014330367726747	0.12968361702861017	-3.9676746963699534	GSE41804
ABCC5	0.8468859167000004	8.4781656541	4.4165534251057625	7.303754776975117e-5	0.002627534755410632	1.5180867637865525	GSE41804
