gene	raw_value	sample_id	library_size	value_type
ANLN	439	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
ASPM	791	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
BUB1B	151	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CAP2	549	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CDHR2	711	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CDKN3	510	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CENPF	873	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CENPW	192	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CFP	32	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CLEC1B	7	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CLEC4M	2	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
COL15A1	3805	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CRHBP	79	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CXCL14	129	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
CYP1A2	9	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
ECM1	859	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
ECT2	593	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
FAHD2A	927	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
FCN2	22	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
FCN3	225	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
GJC1	472	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
HHIP	27	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
IRAK1	4465	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
ITGA6	3365	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
LINC01093	37	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
NUSAP1	9	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
PLAC8	95	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
PLVAP	7496	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
PRC1	0	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
PTTG1	737	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
RACGAP1	742	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
STAB2	54	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
TOP2A	1544	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
TTC13	799	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
UBE2Q1	2780	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
VIPR1	26	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
ADAMTS13	141	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
ADGRG7	83	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
ANGPTL6	42	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
ANLN	406	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
ASPM	702	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
BUB1B	165	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CAP2	2239	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CDHR2	10780	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CDKN3	207	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CENPF	748	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CENPW	134	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CFP	12	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CLEC1B	0	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CLEC4M	0	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
COL15A1	1485	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CRHBP	35	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CXCL14	12	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
CYP1A2	1056	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
ECM1	182	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
ECT2	368	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
FAHD2A	1664	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
FCN2	7	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
