gene,meta_logFC_FE,meta_FDR_FE,I2,tau2_REML,Q_p,logFC_121248,FDR_121248,logFC_41804,FDR_41804
CTD-3080P12.3,-0.7360780205167001,5.185141543368334e-9,76.91481589522647,0.6839858484768473,0.03740704936607056,-0.6884226872586868,9.028416836514627e-7,-2.0220471512499993,0.02636431728165965
SMPX,1.5000663393283291,2.6770520542585392e-8,86.62135844778977,2.3892706621994195,0.00625754508774535,1.2723681158301134,3.120323067602734e-5,3.6211093804499983,0.00252556611547571
LOC149703,-1.324558444166391,4.5444773284637516e-10,0,0,0.835130443115332,-1.3036776447876428,5.639743250343691e-7,-1.4083661837499986,0.03045820734239815
CYP2A13,-0.9383056104890908,1.2570581157552783e-10,59.82192392417272,0.40347451383365207,0.114650406166185,-0.8958884594594588,5.6160540324761076e-8,-2.0573179872999985,0.04988436824763115
ACAT1,-0.7132521424349096,2.1159614190589103e-9,0,0,0.8752082836793559,-0.7269227104247109,8.334311320808241e-6,-0.6904203239999998,0.00970718090189279
ACOT12,-1.5784979430111132,2.108663619967922e-9,0,0,0.7448187491093569,-1.6484583011582994,1.2081716112990031e-5,-1.4846587143999992,0.00736983413267086
MIR6773,-0.5916623557432967,6.72125490330752e-9,69.20911565760872,0.07447654308894261,0.07152312560172074,-0.5136108918918912,2.1050012060665943e-5,-0.9775308995999996,0.0042993845283395
PCAT6,0.587560361226234,1.484960358764343e-9,68.34580761310828,0.21739430296277704,0.07550298547635904,0.5526321196911186,4.065511384723911e-7,1.350228432,0.03336088775076228
POU2F1,0.35054813846403554,4.417772417827589e-9,62.089777132049086,0.01638615668917821,0.10434723441781424,0.3050047567567561,2.2755013998363695e-5,0.5347483974999997,0.00379399160041863
LOC100132686,-0.42775904864915143,4.0128300801692677e-10,55.64656830333245,0.05261178597740099,0.13321641331542153,-0.4048374131274121,1.7553010175154698e-7,-0.8396852627999991,0.03959946578434673
ISOC1,-0.5795678736999064,2.0684460067971774e-9,0,0,0.9764761148335104,-0.5775736988416977,9.296052936857448e-6,-0.5832069254999993,0.00889083059770973
CCDC25,-0.5117661830543296,2.407559897642014e-9,64.96919144962224,0.03394708680309758,0.09111119554202914,-0.4361552200772188,3.651383133723855e-5,-0.7594230756499991,0.00207584359152191
HCLS1,-0.8076937045766541,2.1218327089403343e-9,0,0,0.9424377655727474,-0.8146852509652494,8.95651630988576e-6,-0.7955898915999996,0.00925621929130511
PCK2,-1.0454455641589169,2.1815749863760916e-9,0,0,0.9230730503766624,-1.034707305019304,5.9561364550919245e-6,-1.069092707999999,0.01260666349783689
